symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2025-06-16 19:12:00+00:00,601.85,601.85,601.78,601.83,2912.0,46.0,601.811148
SPY,2025-06-16 19:13:00+00:00,601.85,602.175,601.85,602.175,5135.0,72.0,602.023104
SPY,2025-06-16 19:14:00+00:00,602.18,602.21,601.9,601.94,4843.0,49.0,602.082682
SPY,2025-06-16 19:15:00+00:00,601.95,601.96,601.89,601.94,3219.0,40.0,601.938289
SPY,2025-06-16 19:16:00+00:00,601.93,602.2,601.93,602.16,4849.0,55.0,602.06929
SPY,2025-06-16 19:17:00+00:00,602.16,602.16,601.9,601.925,3230.0,43.0,602.00231
SPY,2025-06-16 19:18:00+00:00,601.91,601.975,601.85,601.855,5178.0,49.0,601.902833
SPY,2025-06-16 19:19:00+00:00,601.85,601.91,601.8,601.805,3254.0,40.0,601.871923
SPY,2025-06-16 19:20:00+00:00,601.73,601.84,601.73,601.78,6722.0,56.0,601.78611
SPY,2025-06-16 19:21:00+00:00,601.73,602.405,601.67,602.23,8178.0,77.0,601.958649
SPY,2025-06-16 19:22:00+00:00,602.26,602.4,602.155,602.3,2081.0,42.0,602.277223
SPY,2025-06-16 19:23:00+00:00,602.35,602.45,602.34,602.42,4816.0,42.0,602.397539
SPY,2025-06-16 19:24:00+00:00,602.385,602.39,602.03,602.16,6228.0,53.0,602.134005
SPY,2025-06-16 19:25:00+00:00,602.09,602.14,602.03,602.13,2228.0,30.0,602.097549
SPY,2025-06-16 19:26:00+00:00,602.16,602.3,602.16,602.28,7102.0,49.0,602.225866
SPY,2025-06-16 19:27:00+00:00,602.215,602.425,602.195,602.22,10965.0,77.0,602.269175
SPY,2025-06-16 19:28:00+00:00,602.195,602.21,602.11,602.12,3209.0,39.0,602.139216
SPY,2025-06-16 19:29:00+00:00,602.1,602.1,602.02,602.07,3778.0,37.0,602.075649
SPY,2025-06-16 19:30:00+00:00,602.07,602.19,602.04,602.105,1891.0,41.0,602.11352
SPY,2025-06-16 19:31:00+00:00,602.03,602.09,601.97,602.02,2667.0,30.0,602.039319
SPY,2025-06-16 19:32:00+00:00,602.0,602.0,601.83,601.9,2649.0,33.0,601.922055
SPY,2025-06-16 19:33:00+00:00,601.83,601.91,601.83,601.9,1722.0,24.0,601.880209
SPY,2025-06-16 19:34:00+00:00,601.81,601.99,601.81,601.93,7504.0,52.0,601.928745
SPY,2025-06-16 19:35:00+00:00,601.95,602.125,601.95,602.05,2906.0,30.0,602.069688
SPY,2025-06-16 19:36:00+00:00,602.0,602.165,602.0,602.14,2982.0,38.0,602.074967
SPY,2025-06-16 19:37:00+00:00,602.14,602.17,602.04,602.04,3016.0,29.0,602.133103
SPY,2025-06-16 19:38:00+00:00,602.09,602.13,602.02,602.13,2799.0,29.0,602.075284
SPY,2025-06-16 19:39:00+00:00,602.13,602.195,602.04,602.05,3564.0,45.0,602.113776
SPY,2025-06-16 19:40:00+00:00,602.05,602.1,602.03,602.1,2103.0,37.0,602.069771
SPY,2025-06-16 19:41:00+00:00,602.095,602.18,602.03,602.18,1768.0,26.0,602.118136
SPY,2025-06-16 19:42:00+00:00,602.2,602.2,602.105,602.11,3174.0,45.0,602.15196
SPY,2025-06-16 19:43:00+00:00,602.08,602.12,602.04,602.12,2322.0,27.0,602.083489
SPY,2025-06-16 19:44:00+00:00,602.13,602.23,602.075,602.23,6696.0,48.0,602.133576
SPY,2025-06-16 19:45:00+00:00,602.295,602.45,602.29,602.44,7323.0,70.0,602.380601
SPY,2025-06-16 19:46:00+00:00,602.46,602.48,602.325,602.43,1996.0,22.0,602.431003
SPY,2025-06-16 19:47:00+00:00,602.395,602.455,602.39,602.455,1311.0,33.0,602.412373
SPY,2025-06-16 19:48:00+00:00,602.43,602.59,602.335,602.59,3961.0,41.0,602.464186
SPY,2025-06-16 19:49:00+00:00,602.67,602.67,602.49,602.5,5148.0,54.0,602.603236
SPY,2025-06-16 19:50:00+00:00,602.28,602.33,602.02,602.105,4449.0,73.0,602.195059
SPY,2025-06-16 19:51:00+00:00,602.035,602.185,602.035,602.16,3958.0,40.0,602.120523
SPY,2025-06-16 19:52:00+00:00,602.13,602.335,602.1,602.335,9546.0,74.0,602.206098
SPY,2025-06-16 19:53:00+00:00,602.28,602.335,602.105,602.185,11572.0,89.0,602.248703
SPY,2025-06-16 19:54:00+00:00,602.15,602.69,602.045,602.445,17635.0,124.0,602.284598
SPY,2025-06-16 19:55:00+00:00,602.775,602.775,602.4,602.535,18017.0,142.0,602.51464
SPY,2025-06-16 19:56:00+00:00,602.57,602.62,602.45,602.46,12986.0,121.0,602.532696
SPY,2025-06-16 19:57:00+00:00,602.47,602.47,602.005,602.005,12035.0,137.0,602.199432
SPY,2025-06-16 19:58:00+00:00,601.985,602.055,601.915,601.935,20788.0,178.0,601.984165
SPY,2025-06-16 19:59:00+00:00,601.885,602.75,601.815,602.705,41887.0,255.0,602.194323
SPY,2025-06-16 20:05:00+00:00,603.04,603.04,603.04,603.04,100.0,1.0,603.04
SPY,2025-06-16 20:37:00+00:00,602.98,602.98,602.98,602.98,100.0,1.0,602.98
SPY,2025-06-16 20:54:00+00:00,602.86,602.86,602.86,602.86,196.0,4.0,602.86
SPY,2025-06-17 13:30:00+00:00,600.22,600.86,600.015,600.48,6428.0,74.0,600.530558
SPY,2025-06-17 13:31:00+00:00,600.52,600.78,600.46,600.635,4037.0,45.0,600.608671
SPY,2025-06-17 13:32:00+00:00,600.59,600.66,600.42,600.52,3523.0,36.0,600.531915
SPY,2025-06-17 13:33:00+00:00,600.57,600.57,600.26,600.32,3871.0,39.0,600.353429
SPY,2025-06-17 13:34:00+00:00,600.31,600.44,600.28,600.43,8781.0,77.0,600.383769
SPY,2025-06-17 13:35:00+00:00,600.38,600.465,600.19,600.32,5757.0,58.0,600.350953
SPY,2025-06-17 13:36:00+00:00,600.24,600.36,600.2,600.2,3265.0,39.0,600.25166
SPY,2025-06-17 13:37:00+00:00,600.13,600.19,599.98,600.05,2374.0,43.0,600.062687
SPY,2025-06-17 13:38:00+00:00,600.2,600.36,600.17,600.36,1586.0,31.0,600.234595
SPY,2025-06-17 13:39:00+00:00,600.435,600.555,600.435,600.515,4148.0,47.0,600.497011
SPY,2025-06-17 13:40:00+00:00,600.48,600.74,600.47,600.595,5082.0,68.0,600.592973
SPY,2025-06-17 13:41:00+00:00,600.665,600.78,600.44,600.44,6275.0,83.0,600.703425
SPY,2025-06-17 13:42:00+00:00,600.23,600.29,599.81,599.99,4502.0,70.0,600.079595
SPY,2025-06-17 13:43:00+00:00,600.02,600.15,599.93,600.09,2800.0,33.0,600.040143
SPY,2025-06-17 13:44:00+00:00,600.02,600.045,599.855,599.97,5655.0,58.0,599.966853
SPY,2025-06-17 13:45:00+00:00,599.975,600.195,599.915,600.105,4419.0,39.0,599.990569
SPY,2025-06-17 13:46:00+00:00,600.2,600.245,600.075,600.245,7110.0,72.0,600.180838
SPY,2025-06-17 13:47:00+00:00,600.265,600.53,600.235,600.34,3835.0,43.0,600.377067
SPY,2025-06-17 13:48:00+00:00,600.4,600.46,600.08,600.24,5071.0,80.0,600.257195
SPY,2025-06-17 13:49:00+00:00,600.17,600.34,600.065,600.235,2522.0,36.0,600.21386
SPY,2025-06-17 13:50:00+00:00,600.17,600.21,600.115,600.13,1521.0,25.0,600.155465
SPY,2025-06-17 13:51:00+00:00,600.05,600.38,599.99,600.35,6403.0,52.0,600.228807
SPY,2025-06-17 13:52:00+00:00,600.43,600.9,600.42,600.74,6197.0,63.0,600.719074
